-43.1379 0.912503 71.7887 -46.0738 1 1 0 0 1 1 0 0 0 1 0 1 1 
52.1104 -53.7889 -41.3068 -22.9835 1 0 1 0 0 1 1 0 1 0 0 1 1 
-41.5693 -35.5632 86.0042 68.4866 1 1 0 0 1 0 1 0 1 0 0 1 1 
3.68969 74.2241 61.8702 -0.442518 1 0 0 1 1 0 1 1 1 0 0 1 0 
92.4741 -4.61135 -60.033 28.1533 1 1 0 0 1 0 1 1 1 1 0 0 0 
82.3176 -79.1192 -45.7442 85.3572 1 0 0 1 1 1 0 0 0 1 0 1 1 
-44.8653 44.6944 -30.1859 -63.5914 0 0 0 0 1 1 1 0 0 1 1 0 0 
17.6366 -91.2107 27.7566 -3.40281 0 1 1 0 1 0 1 0 1 1 1 0 0 
62.45 -17.6794 11.0019 -47.8195 0 0 0 1 1 1 1 0 0 1 1 0 0 
31.8827 22.6173 27.073 44.9568 0 0 1 1 1 1 1 0 0 1 1 0 0 
19.895 89.0866 -54.9547 12.2349 0 1 1 1 1 1 1 0 0 1 1 0 0 
-36.1553 98.2604 11.0446 83.8984 1 1 0 1 1 1 0 0 0 1 1 1 0 
-96.0509 10.7334 -88.4335 -40.5133 1 0 0 0 1 1 0 0 0 1 0 1 1 
-34.7392 -20.8594 43.1623 72.7042 1 0 1 1 0 1 1 1 1 1 0 0 0 
13.7852 -76.9768 -65.1357 -47.5753 1 1 1 1 1 1 1 0 0 1 1 0 0 
-90.1364 -43.2112 -60.033 0.552385 0 0 1 1 1 0 0 0 1 1 1 1 0 
-37.4371 75.4021 -43.1257 -76.8975 1 1 1 0 1 0 1 0 1 0 0 1 1 
39.0484 0.143437 44.3953 2.37739 0 0 1 1 1 1 1 0 0 1 0 0 1 
-20.5237 -9.26237 97.4181 87.5118 1 0 0 1 1 1 1 0 0 0 0 1 1 
-46.6842 -10.4892 -31.6385 -11.4597 0 1 1 0 1 1 0 0 0 1 1 1 0 
-55.3636 -96.0509 89.0805 46.3301 1 1 0 1 1 0 0 0 1 1 1 1 0 
-48.7045 55.736 13.8951 -54.8021 0 1 0 1 1 1 0 0 0 1 0 1 1 
37.7728 37.0159 63.7867 66.8996 1 1 0 0 1 1 1 0 0 1 1 0 0 
36.8206 22.5196 86.639 78.1793 0 1 1 1 1 0 0 1 1 1 0 1 0 
15.0853 38.4869 51.3901 51.1521 0 1 0 1 1 1 0 0 0 1 1 1 0 
-34.8918 -17.0019 -58.6718 89.227 0 1 1 0 1 1 1 0 0 1 0 0 1 
29.7952 -50.1877 -6.46077 68.8833 1 0 1 0 1 0 1 1 1 0 0 1 0 
35.667 -35.3679 -37.6141 90.4538 1 0 0 0 0 1 1 0 1 1 0 0 1 
21.2439 -55.5284 -38.9019 -64.2445 1 1 1 0 0 1 1 0 1 1 1 0 0 
