6.86392 -9.07956 -1.97241 -6.41346 
2.11524 3.3665 -8.24763 2.23548 
-2.31971 -0.790735 -4.60738 1.43773 
-1.1948 -7.66717 8.44295 -0.715659 
-8.49666 3.84503 0.126041 0.456862 
-5.33067 8.24458 3.40312 6.70949 
-8.86532 2.74758 -0.515458 5.82751 
-6.70339 -7.09281 -6.52272 7.18558 
8.9404 -2.35328 -8.20856 -7.96747 
2.88064 6.82485 1.92602 -3.36833 
0.0521867 -5.52477 5.26597 -3.63018 
5.66759 0.831019 3.50749 8.97824 
8.07184 6.25843 9.34874 4.96811 
-0.0863674 -9.76257 2.05359 3.43059 
3.27128 -1.49693 -1.46764 1.301 
-5.66393 -8.5284 0.549638 -5.76464 
-6.69851 -2.90933 8.69076 -2.79458 
-4.93332 1.21677 3.71258 2.94839 
6.38905 -1.33396 5.90197 6.39515 
5.10422 -1.948 -6.9335 -6.80471 
7.04337 3.53069 7.78253 0.476394 
-3.73089 6.59536 -5.47472 7.94305 
4.25886 -8.97214 -2.68899 7.46574 
-6.3451 4.14289 -1.53356 9.26023 
-7.78314 -2.55898 9.15952 -7.19901 
-7.4163 9.80956 -7.68914 0.58504 
3.49223 -3.62285 8.51802 2.86477 
8.05719 -3.8316 5.60228 -8.50703 
-5.24827 1.66234 2.42592 -9.00998 
-3.29203 3.39579 7.58232 4.96017 
4.96017 -7.27042 3.59905 5.9856 
-8.74142 -4.09467 -2.72805 7.12638 
6.08325 2.51137 6.75771 3.14188 
7.46941 1.49388 6.04785 -0.433668 
6.28956 7.8283 -2.54677 -2.24281 
3.59355 -7.02078 -7.28019 -5.94836 
5.65477 2.28065 -6.60024 1.14414 
-7.67022 -7.65679 -8.88913 9.81811 
4.36567 -8.35994 -1.7008 -0.84933 
5.27696 -2.62978 -9.86572 -6.67226 
3.4196 -8.26044 8.1695 -6.82669 
9.88403 -9.21323 6.37257 0.541093 
-2.16834 8.86349 -9.82543 3.67473 
-1.09348 -8.0932 9.15159 1.67638 
